transaction_id,card_id,customer_id,event_ts,merchant_name,merchant_category_code,amount_local,currency_code,country_code,terminal_type,risk_score,risk_label,is_high_amount,is_foreign_country,is_suspicious_mcc,is_rapid_succession,txn_count_5min,fraud_simulation_type,ingested_at,alert_reason,mart_built_at
8eecb006-223c-4661-accf-233f15af3091,CARD_0047,CUST_0047,2026-08-22 15:32:23.581,Paris Metro Shop,5411,8008.94,EUR,FR,CONTACTLESS,80,HIGH,True,True,False,True,18,high_amount,2026-08-22 15:35:15.528,HIGH_AMOUNT + FOREIGN_COUNTRY + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
589f949c-1e3b-4035-9978-f6219a9a98b4,CARD_0043,CUST_0043,2026-08-22 15:32:17.039,Paris Metro Shop,5411,7354.38,EUR,FR,POS,80,HIGH,True,True,False,True,9,high_amount,2026-08-22 15:35:15.528,HIGH_AMOUNT + FOREIGN_COUNTRY + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
6f043ce3-7468-4db4-9c53-f4d1cfa6a686,CARD_0018,CUST_0018,2026-08-22 15:31:12.212,Paris Metro Shop,5411,2736.33,EUR,FR,ATM,80,HIGH,True,True,False,True,13,high_amount,2026-08-22 15:35:15.528,HIGH_AMOUNT + FOREIGN_COUNTRY + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
3b1dd190-104e-4a6f-8c19-87550da6676d,CARD_0030,CUST_0030,2026-08-20 19:39:55.848,Paris Metro Shop,5411,2513.34,EUR,FR,CONTACTLESS,80,HIGH,True,True,False,True,11,high_amount,2026-08-20 19:46:15.295,HIGH_AMOUNT + FOREIGN_COUNTRY + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
7eb868c7-2c78-4110-a2f7-95dd0fd8e85c,CARD_0004,CUST_0004,2026-08-20 19:35:48.509,Marks & Spencer,5311,8391.63,GBP,GB,CONTACTLESS,80,HIGH,True,True,False,True,7,high_amount,2026-08-20 19:46:15.295,HIGH_AMOUNT + FOREIGN_COUNTRY + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
ffdbb8dc-1465-48ab-916c-6caa9c5d9812,CARD_0032,CUST_0032,2026-08-20 19:34:48.739,Paris Metro Shop,5411,8394.09,EUR,FR,CONTACTLESS,80,HIGH,True,True,False,True,14,high_amount,2026-08-20 19:46:15.295,HIGH_AMOUNT + FOREIGN_COUNTRY + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
649cc5d4-772f-4a88-a09d-67496130a38f,CARD_0019,CUST_0019,2026-08-22 15:35:04.693,Marks & Spencer,6051,74.00,GBP,GB,POS,60,HIGH,False,True,True,True,10,suspicious_mcc,2026-08-22 15:35:15.528,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
f4c4c4ea-5ba0-4021-afbb-13ca0b6969ad,CARD_0020,CUST_0020,2026-08-22 15:31:08.688,Paris Metro Shop,6051,112.21,EUR,FR,CONTACTLESS,60,HIGH,False,True,True,True,8,suspicious_mcc,2026-08-22 15:35:15.528,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
a18b4c7d-ea2c-4b9d-baf8-3dbef1ed8910,CARD_0029,CUST_0029,2026-08-22 15:30:09.869,Marks & Spencer,7995,211.20,GBP,GB,POS,60,HIGH,False,True,True,True,7,suspicious_mcc,2026-08-22 15:30:16.198,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
3e0bf22b-c8f2-445c-9569-074b9652f87d,CARD_0028,CUST_0028,2026-08-22 15:29:09.047,Paris Metro Shop,7995,151.60,EUR,FR,ATM,60,HIGH,False,True,True,True,5,suspicious_mcc,2026-08-22 15:30:16.198,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
383de530-4061-4d3c-b13f-25241e202a4f,CARD_0038,CUST_0038,2026-08-22 15:26:41.182,Paris Metro Shop,5933,89.62,EUR,FR,CONTACTLESS,60,HIGH,False,True,True,True,5,suspicious_mcc,2026-08-22 15:30:16.198,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
9935fe13-dd67-4779-bbbe-58db6ac435ac,CARD_0007,CUST_0007,2026-08-20 19:45:21.663,Marks & Spencer,7995,268.47,GBP,GB,CONTACTLESS,60,HIGH,False,True,True,True,7,suspicious_mcc,2026-08-20 19:46:15.295,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
fe3b5b23-ceb4-4ec1-8972-b75c6dfe3ed6,CARD_0044,CUST_0044,2026-08-20 19:40:09.436,Marks & Spencer,5933,343.12,GBP,GB,POS,60,HIGH,False,True,True,True,16,suspicious_mcc,2026-08-20 19:46:15.295,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
50b0ca6b-39af-4f98-b6b0-e9ba72652207,CARD_0034,CUST_0034,2026-08-20 19:39:12.623,Marks & Spencer,6051,324.45,GBP,GB,POS,60,HIGH,False,True,True,True,14,suspicious_mcc,2026-08-20 19:46:15.295,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
7f2830af-cbdc-40b3-85f1-9d038edfcf4a,CARD_0010,CUST_0010,2026-08-20 19:34:41.184,Marks & Spencer,6051,123.10,GBP,GB,POS,60,HIGH,False,True,True,True,14,suspicious_mcc,2026-08-20 19:46:15.295,FOREIGN_COUNTRY + SUSPICIOUS_MCC + RAPID_SUCCESSION,2026-08-22 18:32:00.473491
